asset,timeframe,lane,phase,source_file,candidate_passes_filters,candidate_reject_reason,candidate_min_pf,candidate_mean_pf,candidate_cv,smooth_h,smooth_b,dist_max_h,dist_max_l,atr_min,atr_max,scalp_coef,timescan,superstop_quality,superstop_coef_volat,phase1_horario,phase1_filtro,year,trades,profit_factor,equity_points,win_rate,max_drawdown,avg_win,avg_loss,side_counts,exit_reason_breakdown
ES,15m,independent_from_phase1,phase2b,outputs\contract_phase2a_forward_dual\ES\15m\independent_from_phase2a\COMB002_contract_ES_15m_friday_to_expiry_week_monday_label_left_phase2b_from_phase1_atr_results.csv,False,min_pf=0.760 < 1.0,0.7602,1.2044,0.2384,2,2,200.0,200.0,0.0,50.0,3.0,15,2,3.0,asiatico,no_mardi,ALL,729,1.151928,301.4375,0.471879,219.875,6.643947,-5.31925,"{'SHORT': 421, 'LONG': 308}","{'timescan': 323, 'target': 147, 'stop': 235, 'opposite_signal': 24}"
ES,15m,independent_from_phase1,phase2b,outputs\contract_phase2a_forward_dual\ES\15m\independent_from_phase2a\COMB002_contract_ES_15m_friday_to_expiry_week_monday_label_left_phase2b_from_phase1_atr_results.csv,False,min_pf=0.760 < 1.0,0.7602,1.2044,0.2384,2,2,200.0,200.0,0.0,50.0,3.0,15,2,3.0,asiatico,no_mardi,2017,71,0.778707,-13.696429,0.366197,22.357143,1.853709,-1.509582,"{'SHORT': 39, 'LONG': 32}","{'timescan': 36, 'target': 9, 'stop': 24, 'opposite_signal': 2}"
ES,15m,independent_from_phase1,phase2b,outputs\contract_phase2a_forward_dual\ES\15m\independent_from_phase2a\COMB002_contract_ES_15m_friday_to_expiry_week_monday_label_left_phase2b_from_phase1_atr_results.csv,False,min_pf=0.760 < 1.0,0.7602,1.2044,0.2384,2,2,200.0,200.0,0.0,50.0,3.0,15,2,3.0,asiatico,no_mardi,2018,67,0.818152,-24.401786,0.447761,50.883929,3.659524,-3.833929,"{'SHORT': 44, 'LONG': 23}","{'timescan': 38, 'stop': 21, 'target': 8}"
ES,15m,independent_from_phase1,phase2b,outputs\contract_phase2a_forward_dual\ES\15m\independent_from_phase2a\COMB002_contract_ES_15m_friday_to_expiry_week_monday_label_left_phase2b_from_phase1_atr_results.csv,False,min_pf=0.760 < 1.0,0.7602,1.2044,0.2384,2,2,200.0,200.0,0.0,50.0,3.0,15,2,3.0,asiatico,no_mardi,2019,75,1.528874,55.767857,0.52,12.25,4.1337,-3.012755,"{'SHORT': 44, 'LONG': 31}","{'target': 13, 'timescan': 42, 'stop': 18, 'opposite_signal': 2}"
ES,15m,independent_from_phase1,phase2b,outputs\contract_phase2a_forward_dual\ES\15m\independent_from_phase2a\COMB002_contract_ES_15m_friday_to_expiry_week_monday_label_left_phase2b_from_phase1_atr_results.csv,False,min_pf=0.760 < 1.0,0.7602,1.2044,0.2384,2,2,200.0,200.0,0.0,50.0,3.0,15,2,3.0,asiatico,no_mardi,2020,70,1.570459,182.348214,0.485714,57.098214,14.764706,-9.401523,"{'SHORT': 48, 'LONG': 22}","{'timescan': 30, 'stop': 22, 'target': 18}"
ES,15m,independent_from_phase1,phase2b,outputs\contract_phase2a_forward_dual\ES\15m\independent_from_phase2a\COMB002_contract_ES_15m_friday_to_expiry_week_monday_label_left_phase2b_from_phase1_atr_results.csv,False,min_pf=0.760 < 1.0,0.7602,1.2044,0.2384,2,2,200.0,200.0,0.0,50.0,3.0,15,2,3.0,asiatico,no_mardi,2021,104,1.226542,67.580357,0.5,69.321429,7.036401,-5.736779,"{'SHORT': 62, 'LONG': 42}","{'stop': 33, 'timescan': 46, 'target': 23, 'opposite_signal': 2}"
ES,15m,independent_from_phase1,phase2b,outputs\contract_phase2a_forward_dual\ES\15m\independent_from_phase2a\COMB002_contract_ES_15m_friday_to_expiry_week_monday_label_left_phase2b_from_phase1_atr_results.csv,False,min_pf=0.760 < 1.0,0.7602,1.2044,0.2384,2,2,200.0,200.0,0.0,50.0,3.0,15,2,3.0,asiatico,no_mardi,2022,84,1.479607,136.696429,0.547619,38.0625,9.167702,-7.50047,"{'LONG': 44, 'SHORT': 40}","{'stop': 24, 'timescan': 37, 'target': 20, 'opposite_signal': 3}"
ES,15m,independent_from_phase1,phase2b,outputs\contract_phase2a_forward_dual\ES\15m\independent_from_phase2a\COMB002_contract_ES_15m_friday_to_expiry_week_monday_label_left_phase2b_from_phase1_atr_results.csv,False,min_pf=0.760 < 1.0,0.7602,1.2044,0.2384,2,2,200.0,200.0,0.0,50.0,3.0,15,2,3.0,asiatico,no_mardi,2023,92,1.01426,2.964286,0.51087,45.008929,4.485942,-4.619444,"{'LONG': 50, 'SHORT': 42}","{'timescan': 33, 'stop': 32, 'target': 23, 'opposite_signal': 4}"
ES,15m,independent_from_phase1,phase2b,outputs\contract_phase2a_forward_dual\ES\15m\independent_from_phase2a\COMB002_contract_ES_15m_friday_to_expiry_week_monday_label_left_phase2b_from_phase1_atr_results.csv,False,min_pf=0.760 < 1.0,0.7602,1.2044,0.2384,2,2,200.0,200.0,0.0,50.0,3.0,15,2,3.0,asiatico,no_mardi,2024,85,1.148909,26.928571,0.423529,30.4375,5.771329,-3.931289,"{'LONG': 32, 'SHORT': 53}","{'stop': 31, 'opposite_signal': 8, 'timescan': 27, 'target': 19}"
ES,15m,independent_from_phase1,phase2b,outputs\contract_phase2a_forward_dual\ES\15m\independent_from_phase2a\COMB002_contract_ES_15m_friday_to_expiry_week_monday_label_left_phase2b_from_phase1_atr_results.csv,False,min_pf=0.760 < 1.0,0.7602,1.2044,0.2384,2,2,200.0,200.0,0.0,50.0,3.0,15,2,3.0,asiatico,no_mardi,2025,81,0.660362,-132.75,0.419753,211.008929,7.591387,-8.316109,"{'SHORT': 49, 'LONG': 32}","{'timescan': 34, 'stop': 30, 'target': 14, 'opposite_signal': 3}"
