original_filename,normalized_filename,canonical_name,extension,file_hash_sha256,family,subfamily,role,priority,status,variant_of,duplicate_of,inferred_from_name,manually_reviewed,source_batch,notes
Bandes_Mogalef_premiers_principes_de_trading.mp4,Bandes_Mogalef_premiers_principes_de_trading.mp4,Bandes_Mogalef_premiers_principes_de_trading,mp4,e001f6bf933f0c8f73fd9fd78fa4693f45b8750e137acb2457aaae8296303c96,99-unclassified,videos,unknown,p9_archive,classified,,,yes,no,initial_raw_material,video inventory only
EL_ATR_Min_Max_v2 (1).txt,EL_ATR_Min_Max_v2.txt,EL_ATR_Min_Max_v2,txt,3421cb056a3315afb7b36002e9b48321c49111c49fa3626f6412a07b3d9d3262,mgf-regime-filter-lab,volatility-blockers,blocker,p1_high,classified,,,yes,no,initial_raw_material,
EL_ATR_Min_Max_v2.txt,EL_ATR_Min_Max_v2.txt,EL_ATR_Min_Max_v2,txt,3421cb056a3315afb7b36002e9b48321c49111c49fa3626f6412a07b3d9d3262,99-unclassified,duplicates,blocker,p1_high,duplicate,,EL_ATR_Min_Max_v2,yes,no,initial_raw_material,
EL_AutoAdaptBreakout.txt,EL_AutoAdaptBreakout.txt,EL_AutoAdaptBreakout,txt,44df44db46aa224f730d8a1901d1b92d7914734161228bacbd2e33f725fcc590,mgf-breakout-lab,research-tools,research_tool,p3_low,classified,,,yes,no,initial_raw_material,
EL_Bearish_Breakout.txt,EL_Bearish_Breakout.txt,EL_Bearish_Breakout,txt,8c151b82729b499a93611327a2fc29c30f584066ad143d8befbd9fdd3304f07d,mgf-breakout-lab,structural-breakouts,signal,p1_high,classified,,,yes,no,initial_raw_material,
EL_Block_Day_2019.txt,EL_Block_Day_2019.txt,EL_Block_Day_2019,txt,b37af7710a29e163c5fac38d301ee82c93146363477ceb16a4a9c0b9131f24e2,mgf-regime-filter-lab,calendar-blockers,blocker,p2_medium,classified,,,yes,no,initial_raw_material,
EL_Block_Hours_2019_b.txt,EL_Block_Hours_2019_b.txt,EL_Block_Hours_2019_b,txt,519a0e9652ec85d7ec51fcd0ff0d8e7c00c72957ccef25e3354de748560c1ab4,mgf-regime-filter-lab,calendar-blockers,blocker,p2_medium,classified,,,yes,no,initial_raw_material,
EL_Bullish_Breakout2.txt,EL_Bullish_Breakout2.txt,EL_Bullish_Breakout2,txt,e2d28dcba9a08f005bbfe502fc1186eba258d5908ab08c8a574cd1a64f2cd48e,mgf-breakout-lab,structural-breakouts,signal,p1_high,classified,,,yes,no,initial_raw_material,
EL_CCI_DIV.txt,EL_CCI_DIV.txt,EL_CCI_DIV,txt,29aa434cc61e68202abe70805b7475612635fc768913a60e47c53d54e2c7503d,mgf-divergence-lab,cci,signal,p1_high,classified,,,yes,no,initial_raw_material,
EL_Indice_de_force_v2024 (1).txt,EL_Indice_de_force_v2024.txt,EL_Indice_de_force_v2024,txt,58b4273c478096f68f4f27506940a199152f94f9d3c56bd6e74185015bff0557,mgf-regime-filter-lab,market-strength,indicator,p2_medium,classified,,,yes,no,initial_raw_material,
EL_Indice_de_force_v2024.txt,EL_Indice_de_force_v2024.txt,EL_Indice_de_force_v2024,txt,58b4273c478096f68f4f27506940a199152f94f9d3c56bd6e74185015bff0557,99-unclassified,duplicates,indicator,p2_medium,duplicate,,EL_Indice_de_force_v2024,yes,no,initial_raw_material,
EL_Intelligent_Scalping_Target (1).txt,EL_Intelligent_Scalping_Target.txt,EL_Intelligent_Scalping_Target,txt,6b8dabd58a181baf8ba0705fde695c125c87e67f71fa1c9958087e1705b1effd,mgf-stop-lab,intelligent-family,target,p3_low,classified,EL_Stop_Intelligent,,yes,no,initial_raw_material,
EL_Intelligent_Scalping_Target.txt,EL_Intelligent_Scalping_Target.txt,EL_Intelligent_Scalping_Target,txt,6b8dabd58a181baf8ba0705fde695c125c87e67f71fa1c9958087e1705b1effd,99-unclassified,duplicates,target,p3_low,duplicate,EL_Stop_Intelligent,EL_Intelligent_Scalping_Target,yes,no,initial_raw_material,
