asset,timeframe,winner,reason,sequential_rob,cross_rob,delta,final_rob,final_pf_a,final_pf_b,final_trades_a,final_trades_b,status
ES,5m,cross,only cross passes all filters,122.2433,1.6252,-120.6181,1.6252,1.0325,1.6779,137,93,OK
ES,10m,cross,cross wins by +0.1343 robustness,1.7884,1.9227,0.1343,1.9227,0.7496,1.4413,204,114,OK
ES,15m,cross,only cross passes all filters,3.6965,0.9631,-2.7334,0.9631,1.1115,1.0706,109,71,OK
MNQ,5m,cross,only cross passes all filters,6.3467,2.1111,-4.2356,2.1111,0.7021,1.4822,98,85,OK
MNQ,10m,sequential,sequential wins by +0.0706 robustness,1.8567,1.7861,-0.0706,1.8567,1.1024,2.0468,85,64,OK
MNQ,15m,sequential,sequential wins by +0.1721 robustness,2.0844,1.9123,-0.1721,2.0844,0.9296,1.9378,91,69,OK
YM,5m,cross,only cross passes all filters,3.6965,1.9227,-1.7738,1.9227,0.7496,1.4413,204,114,OK
YM,10m,sequential,sequential wins by +0.1595 robustness,2.0046,1.8451,-0.1595,2.0046,0.8073,1.6183,219,155,OK
YM,15m,sequential,sequential wins by +1.1331 robustness,2.7084,1.5753,-1.1331,2.7084,0.7088,1.9196,81,69,OK
FDAX,5m,cross,only cross passes all filters,5.0315,1.8066,-3.2249,1.8066,1.0458,1.8894,48,49,OK
FDAX,10m,sequential,sequential wins by +1.3378 robustness,3.7668,2.429,-1.3378,3.7668,0.3412,1.2851,58,52,OK
FDAX,15m,sequential,sequential wins by +2.1630 robustness,4.9831,2.8201,-2.163,4.9831,0.6748,3.3625,57,31,OK
