asset,timeframe,winner,overall_rob,pf_a1,pf_a2,pf_a3,pf_b,trades_a1,trades_a2,trades_a3,trades_b,pf_max,pf_min,pf_delta_pct,regime_dependent,consistency_score
ES,5m,cross,1.6252,1.0373,1.0573,1.0692,1.2388,392,395,384,797,1.2388,1.0373,19.4,False,0.8373
ES,10m,cross,1.9227,0.8661,0.7639,0.5444,1.0712,205,206,174,362,1.0712,0.5444,96.8,True,0.5082
ES,15m,cross,0.9631,1.25,0.8777,1.0367,0.9444,109,109,100,205,1.25,0.8777,42.4,False,0.7022
MNQ,5m,cross,2.1111,0.4439,1.7311,1.0635,1.2477,64,54,45,172,1.7311,0.4439,290.0,True,0.2564
MNQ,10m,sequential,1.8567,1.0533,1.6179,0.6716,2.0468,32,31,21,64,2.0468,0.6716,204.8,True,0.3281
MNQ,15m,sequential,2.0844,0.7641,1.5531,0.8111,1.9378,28,29,33,69,1.9378,0.7641,153.6,True,0.3943
YM,5m,cross,1.9227,0.8661,0.7639,0.5444,1.0712,205,206,174,362,1.0712,0.5444,96.8,True,0.5082
YM,10m,sequential,2.0046,0.9171,1.0236,0.5183,1.6183,64,75,80,155,1.6183,0.5183,212.2,True,0.3203
YM,15m,sequential,2.7084,0.662,1.0283,0.4375,1.9196,28,31,21,69,1.9196,0.4375,338.8,True,0.2279
FDAX,5m,cross,1.8066,0.3998,2.3637,6.4978,1.8894,23,18,7,49,6.4978,0.3998,1525.3,True,0.0615
FDAX,10m,sequential,3.7668,0.2117,0.4164,0.484,1.2851,21,27,10,52,1.2851,0.2117,507.0,True,0.1647
FDAX,15m,sequential,4.9831,0.4608,0.8059,0.7541,3.3625,15,17,25,31,3.3625,0.4608,629.7,True,0.137
