trade_id,side,signal_bar_ts,entry_bar_ts,entry_day_of_week,entry_hour_utc,entry_price,initial_stop,exit_bar_ts,exit_day_of_week,exit_hour_utc,exit_price,exit_reason,pnl_points,risk_points,rr_multiple,bars_in_trade
0,short,2026-02-06T02:40:00Z,2026-02-06T02:45:00Z,Friday,2,24554.0,24563.5,2026-02-06T03:05:00Z,Friday,3,24563.5,stop,-9.5,9.5,-1.0,5
1,long,2026-02-06T05:10:00Z,2026-02-06T05:15:00Z,Friday,5,24465.0,24430.75,2026-02-06T08:20:00Z,Friday,8,24568.75,opposite_signal,103.75,34.25,3.0291970802919708,38
2,short,2026-02-06T09:00:00Z,2026-02-06T09:05:00Z,Friday,9,24576.0,24590.0,2026-02-06T09:05:00Z,Friday,9,24590.0,stop,-14.0,14.0,-1.0,1
3,short,2026-02-06T11:25:00Z,2026-02-06T11:30:00Z,Friday,11,24811.25,24821.5,2026-02-06T11:30:00Z,Friday,11,24821.5,stop,-10.25,10.25,-1.0,1
4,short,2026-02-06T16:45:00Z,2026-02-06T16:50:00Z,Friday,16,25030.0,25036.5,2026-02-06T16:50:00Z,Friday,16,25036.5,stop,-6.5,6.5,-1.0,1
5,long,2026-02-06T20:05:00Z,2026-02-06T20:10:00Z,Friday,20,25097.75,25083.25,2026-02-09T09:55:00Z,Monday,9,25083.25,stop,-14.5,14.5,-1.0,152
6,long,2026-02-09T18:30:00Z,2026-02-09T18:35:00Z,Monday,18,25364.75,25330.5,2026-02-09T23:10:00Z,Monday,23,25357.0,opposite_signal,-7.75,34.25,-0.22627737226277372,44
7,long,2026-02-12T06:15:00Z,2026-02-12T06:20:00Z,Thursday,6,25325.0,25323.75,2026-02-12T06:20:00Z,Thursday,6,25323.75,stop,-1.25,1.25,-1.0,1
8,short,2026-02-12T08:10:00Z,2026-02-12T08:15:00Z,Thursday,8,25350.0,25368.25,2026-02-12T10:00:00Z,Thursday,10,25368.25,stop,-18.25,18.25,-1.0,22
9,short,2026-02-12T13:45:00Z,2026-02-12T13:50:00Z,Thursday,13,25396.75,25413.75,2026-02-13T08:25:00Z,Friday,8,24744.5,opposite_signal,652.25,17.0,38.36764705882353,212
