smooth_h,smooth_b,dist_max_h,dist_max_l,trades,pf,wr,equity,max_dd
5,4,75,75,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,75,125,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,75,175,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,75,225,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,75,275,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,125,75,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,125,125,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,125,175,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,125,225,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,125,275,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,175,75,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,175,125,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,175,175,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,175,225,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,175,275,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,225,75,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,225,125,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,225,175,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,225,225,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,225,275,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,275,75,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,275,125,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,275,175,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,275,225,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
5,4,275,275,2139,1.1936705101252432,0.496026180458158,6415.598108626268,1121.2659218048611
4,4,75,75,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,75,125,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,75,175,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,75,225,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,75,275,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,125,75,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,125,125,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,125,175,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,125,225,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,125,275,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,175,75,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,175,125,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,175,175,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,175,225,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,175,275,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,225,75,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,225,125,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,225,175,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,225,225,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
4,4,225,275,2317,1.1838486874240077,0.48554164868364263,6577.4889526731595,1505.775254717575
